Product List as of 07/12/2021,,,,,,
Product Code,Product Description,Product Group,Pack,Allocated,On Hand,Units
BASKETWEAVE CARRARA + CINDERELLA GREY DOT,"BASKETWEAVE CARRARA + CINDERELLA GREY HONED 
CHIP SIZE 25X48 SHEET SIZE 305X305X10MM 10.75 SHEETS/ M2 
10SH/BOX=0.93M2",BASKETWEAVE,,0.0000,38.1080,M2
BASKETWEAVE CARRARA HONED,"BASKETWEAVE DARK CARRARA HONED CHIP SIZE: 25X48 SHEET SIZE 305X305 10.74 SHEETS / M2
5SH/BOX=0.465M2",BASKETWEAVE,,0.0000,42.9700,M2
BASKETWEAVE CARRARA TUMBLED,"BASKETWEAVE CARRARA TUMBLED + NERO DOT 
CHIP SIZE: 25X48 SHEET SIZE 305X305 10.74 SHEETS / M2 5SH/BOX=0.465M2",BASKETWEAVE,,21.4000,37.6800,M2
BASKETWEAVE CARRARA TUMBLED -01,BASKETWEAVE CARRARA TUMBLED + NERO DOT CHIP SIZE: 25X48X10MM SHEET SIZE 305X305 10.75SHEETS / M2 5SH/BOX=0.465M2,BASKETWEAVE,,0.0000,50.2000,M2
BASKETWEAVE CARRARA+ THASSOS DOT,"BASKETWEAVE CARRARA + THASSOS DOT
SHEET SIZE 305X305X7MM 10.75 SHEETS/M2 
10SH/BOX =0.931M2",BASKETWEAVE,,4.6500,78.5800,M2
BASKETWEAVE THASSOS + BLUE DOT,"BASKETWAVE THASSOS + BLUE DOT 
CHIP SIZE 25X48X10MM",BASKETWEAVE,,0.0000,0.6800,M2
BEACHWOOD PENNY HONED 23,"BEACHWOOD PENNY ROUND HONED 
CHIP SIZE 23MM SHEET SIZE 305X287X10MM
11.42 SHEETS/M2 
10SHEETS/BOX=0.875M2",PENNY ROUND,,0.0000,0.0000,M2
BLUESTONE HONED INTERLOCK,"BLUESTONE HONED INTERLOCK 
SHEET SIZE: 298X300X10",,,0.0000,0.0200,M2
BRASS CHEVRON 3D,"ANTIQUE BRASS CHEVRON 3D (CF20180117) (CFM976)
SHEET SIZE: 290X300X8MM
11 SHEETS/BOX(0.96M2)
11.50SHEETS/M2",3D,,0.0000,56.8980,M2
BRASS CHEVRON 3D -01,ANTIQUE BRASS CHEVRON 3D (CF20180117) (CFM976) SHEET SIZE: 290X300X8MM 11 SHEETS/BOX(0.96M2) 11.50SHEETS/M2,3D,,0.0000,0.0000,M2
CALACATTA PENCIL BORDER HONED 150,"CALACATTA PENCIL CAPPING HONED 150X15X19MM
98 PIECES/BOX",PENCIL,98.0000,0.2240,994.0000,EA
CALACATTA PENCIL BORDER HONED 305,"CALACATTA PENCIL CAPPING HONED 305X15X19MM
49 PIECES/BOX",PENCIL,49.0000,0.0000,345.0000,EA
CARRARA 3D STACK HONED,"CARRARA 3D STACK HONED SHEET SIZE 306X292X(8-12)MM 
11.19 SHEETS/M2 8SH/BOX=0.715M2",3D,,2.0000,3.5110,M2
CARRARA 3D STACK HONED -01,"CARRARA 3D STACK HONED SHEET SIZE 306X292X(8-12)MM 
11.19 SHEETS/M2 8SH/BOX=0.715M2",3D,,0.0000,20.0000,M2
